Wavelength,Alexa Fluor 647,Alexa Fluor 700,APC ,FITC,Pacific Blue,"PE (R-PE, R-phycoerythrin)",PE-Cy7,PerCP-Cy5.5
353,0,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0,0
356,0,0,0,0,0,0,0,0
357,0,0,0,0,0,0,0,0
358,0,0,0,0,0,0,0,0
359,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0
361,0,0,0,0,0,0,0,0
362,0,0,0,0,0,0,0,0
363,0,0,0,0,0,0,0,0
364,0,0,0,0,0,0,0,0
365,0,0,0,0,0,0,0,0
366,0,0,0,0,0,0,0,0
367,0,0,0,0,0,0,0,0
368,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0
371,0,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0,0
373,0,0,0,0,0,0,0,0
374,0,0,0,0,0,0,0,0
375,0,0,0,0,0,0,0,0
376,0,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0,0
378,0,0,0,0,0,0,0,0
379,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,0
381,0,0,0,0,0,0,0,0
382,0,0,0,0,0,0,0,0
383,0,0,0,0,0,0,0,0
384,0,0,0,0,0,0,0,0
385,0,0,0,0,0,0,0,0
386,0,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0,0
391,0,0,0,0,0,0,0,0
392,0,0,0,0,0,0,0,0
393,0,0,0,0,0,0,0,0
394,0,0,0,0,0,0,0,0
395,0,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0,0
397,0,0,0,0,0,0,0,0
398,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0
403,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0,0
410,0,0,0,0,2.38872,0,0,0
411,0,0,0,0,1.70243,0,0,0
412,0,0,0,0,1.179118,0,0,0
413,0,0,0,0,1.135669,0,0,0
414,0,0,0,0,1.354881,0,0,0
415,0,0,0,0,1.671688,0,0,0
416,0,0,0,0,2.066981,0,0,0
417,0,0,0,0,2.537917,0,0,0
418,0,0,0,0,3.127764,0,0,0
419,0,0,0,0,3.813338,0,0,0
420,0,0,0,0,4.62184,0,0,0
421,0,0,0,0,5.536488,0,0,0
422,0,0,0,0,6.646884,0,0,0
423,0,0,0,0,7.933599,0,0,0
424,0,0,0,0,9.441236,0,0,0
425,0,0,0,0,11.196,0,0,0
426,0,0,0,0,13.2127,0,0,0
427,0,0,0,0,15.44021,0,0,0
428,0,0,0,0,17.91557,0,0,0
429,0,0,0,0,20.71553,0,0,0
430,0,0,0,0,23.61734,0,0,0
431,0,0,0,0,26.83252,0,0,0
432,0,0,0,0,30.35657,0,0,0
433,0,0,0,0,34.00488,0,0,0
434,0,0,0,0,37.88352,0,0,0
435,0,0,0,0,41.85286,0,0,0
436,0,0,0,0,45.77618,0,0,0
437,0,0,0,0,49.89843,0,0,0
438,0,0,0,0,54.30722,0,0,0
439,0,0,0,0,58.82051,0,0,0
440,0,0,0,0,63.11265,0,0,0
441,0,0,0,0,67.26855,0,0,0
442,0,0,0,0,71.66388,0,0,0
443,0,0,0,0,75.53461,0,0,0
444,0,0,0,0,79.04046,0,0,0
445,0,0,0,0,82.53208,0,0,0
446,0,0,0,0,85.71332,0,0,0
447,0,0,0,0,88.7935,0,0,0
448,0,0,0,0,91.49166,0,0,0
449,0,0,0,0,93.48002,0,0,0
450,0,0,0,0,95.01439,0,0,0
451,0,0,0,0,96.45779,0,0,0
452,0,0,0,0,97.73399,0,0,0
453,0,0,0,0,98.69891,0,0,0
454,0,0,0,0,99.47516,0,0,0
455,0,0,0,0,100,0,0,0
456,0,0,0,0,99.58424,0,0,0
457,0,0,0,0,99.35834,0,0,0
458,0,0,0,0,98.64607,0,0,0
459,0,0,0,0,97.80166,0,0,0
460,0,0,0,0,97.06574,0,0,0
461,0,0,0,0,95.90404,0,0,0
462,0,0,0,0,94.43401,0,0,0
463,0,0,0,0,92.81658,0,0,0
464,0,0,0,0,91.29401,0,0,0
465,0,0,0,0,89.83582,0,0,0
466,0,0,0,0,88.22964,0,0,0
467,0,0,0,0,85.88976,0,0,0
468,0,0,0,0,83.76234,0,0,0
469,0,0,0,0,81.70553,0,0,0
470,0,0,0,0,80.14175,0,0,0
471,0,0,0,0,78.47677,0,0,0
472,0,0,0,0,76.66189,0,0,0
473,0,0,0,0,74.67384,0,0,0
474,0,0,0,0,72.94648,0,0,0
475,0,0,0,0,71.20712,0,0,0
476,0,0,0,0,69.56596,0,0,0
477,0,0,0,0,67.88657,0,0,0
478,0,0,0,0,66.1512,0,0,0
479,0,0,0,0,64.3349,0,0,0
480,0,0,0,0,62.4074,0,0,0
481,0,0,0,0,60.375,0,0,0
482,0,0,0,0,58.69549,0,0,0
483,0,0,0,0,57.02758,0,0,0
484,0,0,0,0,55.30087,0,0,0
485,0,0,0,3.788147,53.62544,0,0,0
486,0,0,0,3.92743,52.04012,0,0,0
487,0,0,0,4.321754,50.59781,0,0,0
488,0,0,0,5.197451,49.27477,0,0,0
489,0,0,0,6.337994,47.8256,0,0,0
490,0,0,0,7.697946,46.25397,0,0,0
491,0,0,0,9.391582,44.79634,0,0,0
492,0,0,0,11.31525,43.26833,0,0,0
493,0,0,0,13.41405,41.86204,0,0,0
494,0,0,0,15.9199,40.64304,0,0,0
495,0,0,0,19.0153,39.53817,0,0,0
496,0,0,0,22.55203,38.20118,0,0,0
497,0,0,0,26.3913,36.9749,0,0,0
498,0,0,0,30.43206,35.75102,0,0,0
499,0,0,0,34.79373,34.53493,0,0,0
500,0,0,0,39.86677,33.29013,0,0,0
501,0,0,0,45.06802,32.08385,0,0,0
502,0,0,0,50.09026,30.90874,0,0,0
503,0,0,0,55.08746,29.68185,0,0,0
504,0,0,0,60.14661,28.58351,0,0,0
505,0,0,0,65.46947,27.25907,0,0,0
506,0,0,0,70.73576,26.27039,0,0,0
507,0,0,0,75.33575,25.24582,0,0,0
508,0,0,0,79.72852,24.25435,0,0,0
509,0,0,0,83.72952,23.35708,0,0,0
510,0,0,0,87.4406,22.48179,0,0,0
511,0,0,0,90.93436,21.62568,0,0,0
512,0,0,0,93.58064,20.81867,0,0,0
513,0,0,0,95.84365,20.08289,0,0,0
514,0,0,0,97.5192,19.18099,0,0,0
515,0,0,0,98.93476,18.46791,0,0,0
516,0,0,0,99.76164,17.75225,0,0,0
517,0,0,0,100,17.014,0,0,0
518,0,0,0,99.57642,16.46043,0,0,0
519,0,0,0,99.10033,15.81343,0,0,0
520,0,0,0,98.40125,15.14406,0,0,0.0268557
521,0,0,0,97.18201,14.56686,0,0,0.0268557
522,0,0,0,95.39993,14.05811,0,0.6529897,0.0265606
523,0,0,0,93.58913,13.54392,0,0.651367,0.0265975
524,0,0,0,91.59315,12.97332,0,0.6625196,0.0261671
525,0,0,0,89.29585,12.43162,0.0906,0.6669453,0.0268557
526,0,0,0,86.97055,11.98198,0.1219091,0.6650729,0.0268557
527,0,0,0,84.4696,11.50251,0.1422273,0.6776553,0.0247899
528,0,0,0,82.02782,11.10827,0.1727046,0.6821491,0.0250195
529,0,0,0,79.41432,10.66136,0.1948438,0.6940575,0.025249
530,0,0,0,76.79704,10.323,0.2050987,0.718773,0.0245604
531,0,0,0,74.0827,9.938858,0.2484186,0.7450614,0.0236422
532,0,0,0,71.33536,9.515805,0.3001724,0.7697769,0.0227241
533,0,0,0,68.92858,9.123953,0.3551849,0.793369,0.0234127
534,0,0,0,66.60094,8.866582,0.407418,0.8290942,0.0231832
535,0,0,0,64.09785,8.45377,0.4700976,0.8726835,0.0224946
536,0,0,0,61.83329,8.161202,0.5587502,0.9131271,0.0231832
537,0,0,0,59.61078,7.902201,0.6220049,0.9657038,0.0218059
538,0,0,0,57.37489,7.568273,0.7234041,1.0304136,0.0227241
539,0,0,0,55.43717,7.340113,0.8404253,1.134893,0.0224946
540,0,0,0,53.17561,7.033706,0.9875405,1.2272392,0.0238718
541,0,0,0,51.48543,6.76331,1.127084,1.3481207,0.025249
542,0,0,0,49.7223,6.510354,1.321257,1.4941671,0.0250195
543,0,0,0,48.27464,6.262905,1.570347,1.6572897,0.0259376
544,0,0,0,46.74945,6.007205,1.846463,1.8329948,0.0261671
545,0,0,0,45.48718,5.840609,2.14146,2.0421782,0.0257081
546,0,0,0,44.20364,5.658343,2.523959,2.2607984,0.0270853
547,0,0,0,42.84221,5.465559,2.964826,2.4953715,0.0261671
548,0,0,0,41.70633,5.226005,3.413072,2.7879136,0.0263967
549,0,0,0,40.5601,5.003949,3.946712,3.1285388,0.0254785
550,0,0,0,39.435,4.82222,4.597469,3.4893858,0.025249
551,0,0,0,38.58361,4.656301,5.158135,3.9266263,0.0241013
552,0,0,0,37.44517,4.477296,6.027792,4.384538,0.0231832
553,0,0,0,36.42616,4.280793,7.023,4.9352453,0.0229536
554,0,0,0,35.46679,4.130284,8.211614,5.5216778,0.0213469
555,0,0,0,34.55879,3.997791,9.637721,6.2083206,0.0199697
556,0,0,0,33.81929,3.844696,11.33985,6.979221,0.0197401
557,0,0,0,32.821,3.715404,13.41767,7.8813384,0.0204287
558,0,0,0,31.78624,3.569926,15.78301,8.9510722,0.0197401
559,0,0,0,31.06413,3.489054,18.78953,10.2304388,0.0190515
560,0,0,0,30.15197,3.31347,22.02894,11.5787842,0.019281
561,0,0,0,29.33902,3.186305,25.82806,13.0814894,0.0199697
562,0,0,0,28.56108,3.060016,29.83611,14.8046124,0.0197401
563,0,0,0,27.6214,2.96421,34.52366,16.6317653,0.0215764
564,0,0,0,26.74772,2.875682,39.7048,18.6725954,0.0211173
565,0,0,0,25.74535,2.744342,45.82422,20.9324951,0.0213469
566,0,0,0,25.10942,2.654681,52.49663,23.3741664,0.0199697
567,0,0,0,24.24641,2.510396,60.09008,25.9243614,0.0208878
568,0,0,0,23.50311,2.434734,67.22636,28.5138767,0.0201992
569,0,0,0,22.69247,2.347757,75.31914,31.0676667,0.0208878
570,0,0,0,21.68404,2.281699,82.26852,33.6484191,0.0199697
571,0,0,0,20.89881,2.160421,88.78088,35.9984182,0.0197401
572,0,0,0,20.11592,2.073543,93.44257,37.9972318,0.018822
573,0,0,0,19.47529,1.957892,96.55931,39.9369529,0.0195106
574,0,0,0,18.65756,1.9185,98.90739,41.4747093,0.0183629
575,0,0,0,18.06088,1.864413,99.55911,42.6572358,0.0185924
576,0,0,0,17.32446,1.742499,99.99998,43.5137418,0.0183629
577,0,0,0,16.70262,1.713427,97.92982,43.9390739,0.0185924
578,0,0,0,15.988,1.648304,94.97697,43.9112128,0.0181334
579,0,0,0,15.38996,1.584692,91.67719,43.4151043,0.0179038
580,0,0,0,14.97182,1.525057,87.10751,42.4943379,0.0176743
581,0,0,0,14.45914,1.479421,82.73719,41.4093254,0.0172152
582,0,0,0,13.88615,1.447744,76.96854,39.9421207,0.0172152
583,0,0,0,13.40696,1.404057,71.88229,38.2601154,0.0176743
584,0,0,0,12.87406,1.348896,66.35421,36.4882354,0.0174448
585,0,0,0,12.34572,1.329468,62.26853,34.7323081,0.0167561
586,0,0,0,11.88779,1.268799,58.32948,32.8067424,0.0167561
587,0,0,0,11.40547,1.232788,54.10963,31.0485683,0.0156085
588,0,0,0,10.93634,1.209463,50.65554,29.2229882,0.0153789
589,0,0,0,10.59322,1.169275,48.09564,27.5335682,0.0153789
590,0,0,0,10.27972,1.104211,44.87252,25.9607607,0.0153789
591,0,0,0,9.847617,1.07854,41.9053,24.5319774,0.0146903
592,0,0,0,9.438091,1.051854,39.59363,23.2063254,0.0144608
593,0,0,0,9.110133,1.025706,37.15353,22.040875,0.0151494
594,0,0,0,8.779702,0.9490293,34.91949,20.9077796,0.0153789
595,0,0,0,8.437654,0.9509979,33.32949,19.9622976,0.0146903
596,0,0,0,8.284407,0.9213693,31.72512,19.0208599,0.0153789
597,0,0,0,7.92032,0.8842839,30.25014,18.1690723,0.0151494
598,0,0,0,7.684351,0.870424,28.87866,17.3799723,0.0146903
599,0,0,0,7.305268,0.8487893,27.75349,16.7456815,0.0149199
600,0,0,0.9342855,7.08483,0.8162972,26.79605,16.1008304,0.015838
601,0,0,0.950739,6.963509,0.7919382,26.01974,15.5442813,0.0165266
602,0,0,1.071235,6.7048,0.7479327,25.10063,15.0524419,0.0162971
603,0,0,1.150167,6.467101,0.7322037,24.23423,14.540156,0.0165266
604,0,0,1.301096,6.282627,0.7060352,23.57868,14.0507882,0.0174448
605,0,0,1.480135,6.049913,0.7023565,22.84933,13.6086046,0.0181334
606,0,0,1.678626,5.847435,0.6645352,22.30208,13.2362986,0.0190515
607,0,0,1.885549,5.612044,0.6454259,21.68871,12.8734294,0.0213469
608,0,0,2.12849,5.517994,0.6291202,21.15487,12.6330146,0.0234127
609,0,0,2.329342,5.332037,0.6350459,20.54245,12.3640645,0.025249
610,0,0,2.646306,5.126389,0.5854528,20.21659,12.1643179,0.0275444
611,0,0,2.944491,4.939525,0.5689881,20.04983,12.0214171,0.0296102
612,0,0,3.479809,4.82187,0.558966,19.6818,11.8385221,0.0314465
613,0,0,3.779044,4.64065,0.5383255,19.49779,11.6475383,0.035119
614,0,0,4.249223,4.455064,0.5042427,19.0253,11.5003685,0.0399393
615,0,0,4.706433,4.290446,0.5111825,18.94,11.3399421,0.04453
616,0,0,5.331177,4.113305,0.5060721,18.66206,11.2397318,0.0479731
617,0,0,5.8801,4.032396,0.4788695,18.63714,11.1109863,0.0532524
618,0,0,6.598916,3.872763,0.4652284,18.17136,11.0262794,0.0594499
619,0,0,7.185356,3.728043,0.4475507,17.91834,10.9763989,0.0644997
620,0,0,7.880523,3.597535,0.428481,17.79183,10.8878723,0.0718449
621,0,0,8.570893,3.447253,0.4253591,17.42955,10.7355347,0.0810263
622,0,0,9.484116,3.2959,0.3976593,17.20241,10.6303812,0.0904373
623,0,0,10.27242,3.228875,0.4016562,16.90531,10.4477109,0.0959462
624,0,0,11.0578,3.086173,0.4044003,16.71267,10.2946992,0.1028322
625,0,0,11.91308,2.982731,0.3920716,16.34464,10.1075351,0.1147681
626,0,0,13.05312,2.920278,0.3729224,16.04849,9.9486815,0.126704
627,0,0,13.89596,2.786186,0.3530971,15.77439,9.774774,0.1395581
628,0,0,14.85326,2.775105,0.3473901,15.42936,9.6051354,0.1526416
629,0,0,15.88593,2.656543,0.341882,15.20318,9.3853918,0.1719227
630,2.145717303,0,16.78277,2.594668,0.3334906,14.73452,9.1625025,0.190056
631,2.349090764,0,17.91371,2.514954,0.3090321,14.34253,8.9373663,0.2075008
632,2.722215648,0,19.1427,2.457816,0.320108,13.986,8.6747075,0.2316021
633,3.14247569,0,20.3444,2.335052,0.2992089,13.40425,8.36801,0.2550148
634,3.686816426,0,21.47084,2.277008,0.2932633,12.93751,8.0822084,0.278198
635,4.264558167,0,22.79645,2.166645,0.2952717,12.40655,7.8575216,0.2988562
636,4.977712021,0,24.00111,2.102462,0.2929252,11.99731,7.6236227,0.3277778
637,5.809035636,0,25.28976,2.057106,0.2795427,11.43569,7.3045674,0.3594538
638,6.7329302,0,26.79643,2.006517,0.2712705,10.98332,7.0497726,0.3865391
639,7.806046444,0,28.56287,1.872343,0.2674725,10.44949,6.7475689,0.4211991
640,8.939762721,0.7548319,30.14488,1.838974,0.2683674,9.982747,6.4965937,0.4609088
641,10.3313882,0.6441227,32.66199,1.799509,0.2512663,9.508911,6.2128143,0.5075047
642,12.02640832,0.6843802,34.92882,1.730712,0.2578482,8.95294,5.9324052,0.556855
643,13.72202228,0.5384462,37.6129,1.703605,0.2393154,8.548877,5.6533442,0.6204365
644,15.72825941,0.704509,40.50552,1.630318,0.2461558,8.096605,5.3790017,0.6918223
645,17.86441145,0.7347031,43.47126,1.503394,0.224004,7.684299,5.1302734,0.7719305
646,20.07370163,0.7347031,47.28572,1.459727,0.2270265,7.250717,4.9134506,0.8676471
647,22.74319651,0.8504431,51.18422,1.437069,0.2227711,6.868697,4.7229163,0.9915967
648,25.51428314,0.9359909,55.77409,1.408191,0.2153938,6.562678,4.4816026,1.1323024
649,28.41683473,0.8353469,60.39661,1.35233,0.2090704,6.252442,4.2829795,1.3078977
650,31.6477705,0.9561197,65.40831,1.276365,0.2098459,5.970001,4.1236766,1.5043807
651,34.93757349,0.9762485,69.93282,0,0,5.70136,3.927525,1.7637567
652,39.00403199,1.112117,75.18536,0,0,5.458117,3.7974314,2.0603175
653,42.9155741,1.137279,80.07762,0,0,5.225607,3.6464419,2.4317072
654,46.42496161,1.0467,84.88214,0,0,5.007283,3.5410638,2.8882549
655,51.32592744,1.152377,89.08218,0,0,4.830361,3.4428756,3.4646204
656,55.2455743,1.182569,92.78687,0,0,4.655548,3.3835583,4.1695263
657,59.79176589,1.373793,95.99799,0,0,4.486677,3.3226682,4.9965455
658,64.41400651,1.293278,98.37317,0,0,4.220241,3.268294,6.0349676
659,68.13359998,1.529791,99.43361,0,0,4.059228,3.2076286,7.2450828
660,72.58680613,1.590177,100,0,0,4.016388,3.1390991,8.8642316
661,76.59974087,1.393922,99.71358,0,0,3.882978,3.0862977,10.7266889
662,80.55086353,1.992761,98.41766,0,0,3.74353,3.033721,13.0736972
663,84.76964862,1.781398,96.01115,0,0,3.639639,2.9658656,15.9812331
664,88.55868059,2.390291,93.62656,0,0,3.5691,2.9330613,19.5927568
665,90.7486129,2.314818,90.38733,0,0,3.47786,2.8872252,23.7462155
666,93.20268762,2.556357,86.41145,0,0,3.328157,2.862285,28.7703054
667,95.07109568,2.772749,82.05199,0,0,3.268544,2.8112811,34.6227916
668,97.37729835,3.190413,77.49364,0,0,3.188038,2.7802743,41.4090313
669,98.4088966,3.286036,73.12512,0,0,3.047728,2.7151151,48.4654353
670,99.72682415,3.668478,68.76762,0,0,2.942687,2.6443388,56.1487028
671,100,4.141513,64.42639,0,0,2.854513,2.5787302,64.0431436
672,99.27706705,4.589369,60.57752,0,0,2.817136,2.5322201,71.7663504
673,98.26914654,4.846013,56.6125,0,0,2.764232,2.4697572,78.9418837
674,96.88280172,5.419683,52.79201,0,0,2.709794,2.4072942,85.5187864
675,95.2185336,5.671297,49.24279,0,0,2.63341,2.3459547,91.1034038
676,93.90158557,6.743167,45.93995,0,0,2.587693,2.3007927,95.2733892
677,90.56712003,7.271542,43.15812,0,0,2.548974,2.2329373,98.0356286
678,88.43823518,7.885464,40.49578,0,0,2.488019,2.1817087,99.6653361
679,86.15408667,8.997584,38.4744,0,0,2.489361,2.1221667,100
680,83.39204568,9.591389,36.69496,0,0,2.340042,2.0495929,99.4277661
681,80.41713207,10.7186,34.71545,0,0,2.349626,1.9774684,98.0358582
682,77.08821742,11.88607,33.21503,0,0,2.238642,1.9300595,96.1412658
683,74.74686226,13.33033,31.83786,0,0,2.169637,1.8997268,93.8615116
684,70.92333687,14.13548,30.13176,0,0,2.175388,1.8336689,91.5418181
685,68.30332805,16.36978,29.08076,0,0,2.080889,1.7792947,89.5340643
686,65.66914132,17.1699,27.86542,0,0,1.992812,1.7399745,87.8019836
687,61.98572416,19.16761,27.04234,0,0,2.009488,1.6898693,86.4637872
688,59.29897344,20.66733,26.16352,0,0,1.933007,1.6424604,85.5568894
689,57.17117436,22.2373,25.15577,0,0,1.909718,1.5943774,84.7771547
690,53.72091232,25.06542,24.63897,0,0,1.901476,1.5698866,84.3688097
691,50.95016385,27.07335,24.10414,0,0,1.797009,1.5355095,84.266207
692,48.86717083,29.63979,23.38645,0,0,1.770078,1.5110186,84.4610833
693,46.51677616,31.2551,22.95607,0,0,1.759632,1.4788884,84.6272675
694,44.50760815,34.05288,22.48316,0,0,1.681426,1.4420398,84.7808273
695,42.67458187,36.57908,21.95275,0,0,1.575905,1.4278845,84.8685101
696,40.63821174,39.70418,21.82195,0,0,1.587981,1.3874409,84.8090602
697,38.99442647,42.4919,21.3385,0,0,1.580601,1.380925,84.6022481
698,37.31157997,45.59177,21.04601,0,0,1.469522,1.3539626,84.2248905
699,35.63958519,48.79734,20.49529,0,0,1.485911,1.3355383,83.6889233
700,34.05503801,51.88203,20.25478,0,0,1.423231,1.3171139,82.8536408
701,33.0263008,54.87621,19.81298,0,0,1.38547,1.307003,81.896245
702,31.79694066,59.01772,19.40756,0,0,1.346559,1.299139,80.668226
703,30.64397294,62.47491,19.22403,0,0,1.274774,1.2793666,79.2978945
704,29.72836257,66.58114,18.89698,0,0,1.260878,1.2631891,77.7462293
705,28.44694508,68.24675,18.43947,0,0,1.167337,1.2420686,76.0724508
706,27.49372322,73.32438,18.31005,0,0,1.207494,1.2638632,74.2359311
707,26.92640692,74.64783,18.06472,0,0,1.106383,1.2622904,72.4416461
708,26.25319254,79.48371,18.14323,0,0,1.117596,1.2445401,70.45983
709,25.28186376,82.73958,17.86491,0,0,1.074468,1.247461,68.4366973
710,24.93561861,85.73374,17.59585,0,0,0.9971246,1.2508313,66.3497536
711,24.46080587,88.14913,17.55601,0,0,0.9507378,1.2715025,64.3766598
712,24.17566528,90.74574,17.5547,0,0,0.9599385,1.3065537,62.3048655
713,23.64266764,92.55234,17.3212,0,0,0.9418246,1.324978,60.3101953
714,23.55368341,94.75649,17.29594,0,0,0.8893998,1.3539626,58.3348062
715,23.26620381,96.21087,17.18564,0,0,0.8073604,1.4018209,56.3926998
716,23.08516108,97.83113,17.05154,0,0,0.7544565,1.4620369,54.4600044
717,22.73659488,98.1784,17.06863,0,0,0.7613569,1.5489907,52.6407
718,22.60492403,99.22515,17.16154,0,0,0.7705576,1.637742,50.9090784
719,22.23102771,100,17.03126,0,0,0.6822885,1.7127874,49.1893927
720,22.12920278,99.87418,16.96218,0,0,0.6574658,1.8523179,47.5084986
721,22.05421377,99.53203,16.7969,0,0,0.6651331,2.0037568,45.9917229
722,21.76059158,98.77219,16.56565,0,0,0.6391603,2.1527241,44.4958351
723,21.81077166,96.08505,16.56164,0,0,0.6464441,2.3731418,43.1624589
724,21.50303654,96.39703,16.52716,0,0,0.655549,2.5809771,41.9176837
725,21.42545801,94.00159,16.30517,0,0,0,2.7843187,40.7149137
726,20.97247083,92.59257,16.04757,0,0,0,3.05237,39.6888865
727,20.83897505,89.14559,15.53834,0,0,0,3.3597415,38.707619
728,20.7672634,87.30371,15.52613,0,0,0,3.7113763,37.862696
729,20.35536597,85.33618,15.38633,0,0,0,4.0969389,37.1196871
730,20.02534254,82.34712,14.89344,0,0,0,4.515081,36.409961
731,19.81206385,79.27744,14.67212,0,0,0,4.9682742,35.8083464
732,19.72587126,76.22291,14.27199,0,0,0,5.4405659,35.1840077
733,19.24963718,73.46024,13.9668,0,0,0,6.0110456,34.5963949
734,18.97281813,70.85358,13.60568,0,0,0,6.6576942,34.0549188
735,18.60951532,66.68684,13.21459,0,0,0,7.3450111,33.3947725
736,18.25466422,65.37344,13.20792,0,0,0,8.0862528,32.8209319
737,17.88970244,61.17653,12.74028,0,0,0,8.9290529,32.1972818
738,17.59560407,57.72444,12.07847,0,0,0,9.8725127,31.5366765
739,17.25690701,55.92296,11.52655,0,0,0,10.9505599,30.8898433
740,16.81961504,52.88344,11.17646,0,0,0,12.0616361,30.283638
741,16.36101711,51.06679,10.87007,0,0,0,13.2493304,29.6124739
742,15.90847161,48.40488,10.48002,0,0,0,14.5909352,29.0384037
743,15.39392254,45.34525,10.19128,0,0,0,15.9500656,28.4232465
744,15.03868785,42.47178,9.737625,0,0,0,17.5091672,27.910692
745,14.70756829,40.71053,9.441989,0,0,0,19.2271224,27.3448851
746,14.29802411,37.93287,8.882946,0,0,0,20.9446282,26.8236083
747,13.84368933,36.45837,8.520109,0,0,0,22.8117754,26.3275804
748,13.37411531,35.71354,8.294446,0,0,0,24.765427,25.8806733
749,12.99076433,33.11199,8.041685,0,0,0,26.7579494,25.369496
750,12.59493293,32.04512,7.615582,0,0,0,28.9057304,25.0029266
751,12.00337826,30.25864,0,0,0,0,31.2853882,24.5466085
752,11.43719432,29.15664,0,0,0,0,33.6776284,24.1660374
753,11.04618299,27.92883,0,0,0,0,36.1756961,23.7106374
754,10.80866913,26.76121,0,0,0,0,38.8319433,23.265337
755,10.39447995,25.2567,0,0,0,0,41.4854942,22.7791792
756,9.872330458,23.34441,0,0,0,0,44.2853163,22.36303
757,9.416275566,23.0072,0,0,0,0,46.9907699,21.8849059
758,8.912115134,21.34159,0,0,0,0,49.9746104,21.4173405
759,8.638709777,20.99432,0,0,0,0,52.9811443,20.933019
760,8.050664445,20.26466,0,0,0,0,56.067442,20.5086065
761,7.824461115,19.68093,0,0,0,0,59.2811371,20.0043153
762,7.51553228,18.64934,0,0,0,0,62.4083278,19.5720985
763,7.233269336,18.09579,0,0,0,0,65.5752881,19.1630649
764,6.997149739,17.53729,0,0,0,0,68.5162134,18.7999385
765,6.65512277,17.26554,0,0,0,0,71.6294735,18.3525723
766,6.479645918,16.38991,0,0,0,0,74.5101828,17.9609834
767,6.311260954,15.59482,0,0,0,0,77.4353801,17.5413911
768,6.107609518,15.25766,0,0,0,0,80.3106969,17.1523272
769,5.922677037,14.90036,0,0,0,0,83.0974871,16.7637223
770,5.675292064,14.50786,0,0,0,0,85.8739417,16.3767241
771,5.649766817,13.76812,0,0,0,0,88.3688638,15.9789378
772,5.525466611,13.78826,0,0,0,0,90.6274154,15.5965303
773,5.338684983,13.34039,0,0,0,0,92.5019772,15.2074664
